,0,1,2,3,4,5
0,360.0,360.0,360.0,360.0,360.0,360.0
1,360.0,360.0,360.0,360.0,360.0,360.0
2,360.0,360.0,360.0,360.0,360.0,360.0
3,360.0,360.0,360.0,360.0,360.0,360.0
4,360.0,360.0,360.0,360.0,360.0,360.0
5,360.0,360.0,360.0,360.0,360.0,360.0
6,360.0,360.0,360.0,360.0,360.0,360.0
7,360.0,360.0,360.0,360.0,360.0,360.0
8,360.0,360.0,360.0,360.0,360.0,360.0
9,360.0,360.0,360.0,360.0,360.0,360.0
10,360.0,360.0,360.0,360.0,360.0,360.0
11,360.0,360.0,360.0,360.0,360.0,360.0
12,360.0,360.0,360.0,360.0,360.0,360.0
13,360.0,360.0,360.0,360.0,360.0,360.0
14,360.0,360.0,360.0,360.0,360.0,360.0
15,360.0,360.0,360.0,360.0,360.0,360.0
16,360.0,360.0,360.0,360.0,360.0,360.0
17,360.0,360.0,360.0,360.0,360.0,360.0
18,360.0,360.0,360.0,360.0,360.0,360.0
19,360.0,360.0,360.0,360.0,360.0,360.0
20,360.0,360.0,360.0,360.0,360.0,360.0
21,360.0,360.0,360.0,360.0,360.0,360.0
22,360.0,360.0,360.0,360.0,360.0,360.0
23,360.0,360.0,360.0,360.0,360.0,360.0
24,360.0,360.0,360.0,360.0,360.0,360.0
25,360.0,360.0,360.0,360.0,360.0,360.0
26,360.0,360.0,360.0,360.0,360.0,360.0
27,360.0,360.0,360.0,360.0,360.0,360.0
28,360.0,360.0,360.0,360.0,360.0,360.0
29,360.0,360.0,360.0,360.0,360.0,360.0
30,360.0,360.0,360.0,360.0,360.0,360.0
31,360.0,360.0,360.0,360.0,360.0,360.0
32,360.0,360.0,360.0,360.0,360.0,360.0
33,360.0,360.0,360.0,360.0,360.0,360.0
34,360.0,360.0,360.0,360.0,360.0,360.0
35,360.0,360.0,360.0,360.0,360.0,360.0
36,360.0,360.0,360.0,360.0,360.0,360.0
37,360.0,360.0,360.0,360.0,360.0,360.0
38,360.0,360.0,360.0,360.0,360.0,360.0
39,360.0,360.0,360.0,360.0,360.0,360.0
40,360.0,360.0,360.0,360.0,360.0,360.0
41,360.0,360.0,360.0,360.0,360.0,360.0
42,360.0,360.0,360.0,360.0,360.0,360.0
43,360.0,360.0,360.0,360.0,360.0,360.0
44,360.0,360.0,360.0,360.0,360.0,360.0
45,360.0,360.0,360.0,360.0,360.0,360.0
46,360.0,360.0,360.0,360.0,360.0,360.0
47,360.0,360.0,360.0,360.0,360.0,360.0
48,360.0,360.0,360.0,360.0,360.0,360.0
49,360.0,360.0,360.0,360.0,360.0,360.0
50,360.0,360.0,360.0,360.0,360.0,360.0
51,360.0,360.0,360.0,360.0,360.0,360.0
52,360.0,360.0,360.0,360.0,360.0,360.0
53,360.0,360.0,360.0,360.0,360.0,360.0
54,360.0,360.0,360.0,360.0,360.0,360.0
55,360.0,360.0,360.0,360.0,360.0,360.0
56,360.0,360.0,360.0,360.0,360.0,360.0
57,360.0,360.0,360.0,360.0,360.0,360.0
58,360.0,360.0,360.0,360.0,360.0,360.0
59,360.0,360.0,360.0,360.0,360.0,360.0
60,360.0,360.0,360.0,360.0,360.0,360.0
61,360.0,360.0,360.0,360.0,360.0,360.0
62,360.0,360.0,360.0,360.0,360.0,360.0
63,360.0,360.0,360.0,360.0,360.0,360.0
64,360.0,360.0,360.0,360.0,360.0,360.0
65,360.0,360.0,360.0,360.0,360.0,360.0
66,360.0,360.0,360.0,360.0,360.0,360.0
67,360.0,360.0,360.0,360.0,360.0,360.0
68,360.0,360.0,360.0,360.0,360.0,360.0
69,360.0,360.0,360.0,360.0,360.0,360.0
70,360.0,360.0,360.0,360.0,360.0,360.0
71,360.0,360.0,360.0,360.0,360.0,360.0
72,360.0,360.0,360.0,360.0,360.0,360.0
73,360.0,360.0,360.0,360.0,360.0,360.0
74,360.0,360.0,360.0,360.0,360.0,360.0
75,360.0,360.0,360.0,360.0,360.0,360.0
76,360.0,360.0,360.0,360.0,360.0,360.0
77,360.0,360.0,360.0,360.0,360.0,360.0
78,360.0,360.0,360.0,360.0,360.0,360.0
79,360.0,360.0,360.0,360.0,360.0,360.0
80,360.0,360.0,360.0,360.0,360.0,360.0
81,360.0,360.0,360.0,360.0,360.0,360.0
82,360.0,360.0,360.0,360.0,360.0,360.0
83,360.0,360.0,360.0,360.0,360.0,360.0
84,360.0,360.0,360.0,360.0,360.0,360.0
85,360.0,360.0,360.0,360.0,360.0,360.0
86,360.0,360.0,360.0,360.0,360.0,360.0
87,360.0,360.0,360.0,360.0,360.0,360.0
88,360.0,360.0,360.0,360.0,360.0,360.0
89,360.0,360.0,360.0,360.0,360.0,360.0
90,360.0,360.0,360.0,360.0,360.0,360.0
91,360.0,360.0,360.0,360.0,360.0,360.0
92,360.0,360.0,360.0,360.0,360.0,360.0
93,360.0,360.0,360.0,360.0,360.0,360.0
94,360.0,360.0,360.0,360.0,360.0,360.0
