,"[0, 0]","[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 7]","[0, 8]","[1, 0]","[1, 1]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[1, 6]","[1, 7]","[1, 8]","[2, 0]","[2, 1]","[2, 2]","[2, 3]","[2, 4]","[2, 5]","[2, 6]","[2, 7]","[2, 8]","[3, 0]","[3, 1]","[3, 2]","[3, 3]","[3, 4]","[3, 5]","[3, 6]","[3, 7]","[3, 8]","[4, 0]","[4, 1]","[4, 2]","[4, 3]","[4, 4]","[4, 5]","[4, 6]","[4, 7]","[4, 8]","[5, 0]","[5, 1]","[5, 2]","[5, 3]","[5, 4]","[5, 5]","[5, 6]","[5, 7]","[5, 8]","[6, 0]","[6, 1]","[6, 2]","[6, 3]","[6, 4]","[6, 5]","[6, 6]","[6, 7]","[6, 8]","[7, 0]","[7, 1]","[7, 2]","[7, 3]","[7, 4]","[7, 5]","[7, 6]","[7, 7]","[7, 8]","[8, 0]","[8, 1]","[8, 2]","[8, 3]","[8, 4]","[8, 5]","[8, 6]","[8, 7]","[8, 8]"
10,60.0,60.0,60.0,-20.0,60.0,52.666666666666664,20.666666666666668,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.53333333333333,22.266666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,19.866666666666667,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.333333333333334,37.46666666666667,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,34.766666666666666,35.63333333333333,3.0,60.0,61.833333333333336,62.36666666666667,62.06666666666667,-2.8333333333333335,30.933333333333334,37.2,28.1,31.766666666666666,44.3,69.83333333333333,69.43333333333334,70.03333333333333,-9.366666666666667,-1.5333333333333334,31.6,29.8,27.3,32.63333333333333,61.0,61.0,61.0,0.0,3.0,33.93333333333333,29.8,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,42.3,30.966666666666665,30.0,60.0
11,60.0,60.0,60.0,-20.0,60.0,51.46666666666667,19.333333333333332,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.46666666666667,18.4,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.266666666666666,19.466666666666665,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.866666666666667,44.13333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,31.666666666666668,38.3,3.0,60.0,62.13333333333333,62.13333333333333,62.43333333333333,-2.966666666666667,24.833333333333332,34.5,27.1,24.9,41.93333333333333,70.16666666666667,70.4,70.13333333333334,-11.033333333333333,-3.2,28.6,29.85,28.233333333333334,30.633333333333333,61.0,61.0,61.0,0.0,3.0,27.4,30.066666666666666,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,40.266666666666666,27.966666666666665,30.0,60.0
12,60.0,60.0,60.0,-20.0,60.0,53.2,16.8,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.0,19.866666666666667,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.46666666666667,19.066666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.466666666666667,39.733333333333334,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,32.3,37.96666666666667,3.0,60.0,61.7,62.0,62.13333333333333,-2.8666666666666667,26.8,37.35,30.2,30.566666666666666,43.7,70.8,70.03333333333333,70.23333333333333,-9.933333333333334,-2.8666666666666667,31.7,29.75,27.866666666666667,33.36666666666667,61.0,61.0,61.0,0.0,3.0,33.233333333333334,30.533333333333335,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,42.2,30.533333333333335,30.0,60.0
13,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,20.266666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,48.8,21.6,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.8,18.266666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.466666666666667,37.86666666666667,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,30.8,34.766666666666666,3.0,60.0,62.06666666666667,62.8,62.3,-2.8666666666666667,25.3,37.65,28.366666666666667,31.366666666666667,40.56666666666667,69.93333333333334,69.6,70.43333333333334,-9.466666666666667,0.43333333333333335,29.033333333333335,28.75,28.466666666666665,32.06666666666667,61.0,61.0,61.0,0.0,3.0,33.53333333333333,31.133333333333333,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,37.733333333333334,29.733333333333334,30.0,60.0
14,60.0,60.0,60.0,-20.0,60.0,52.53333333333333,19.866666666666667,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.46666666666667,21.6,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,53.86666666666667,20.266666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,13.2,37.86666666666667,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,37.733333333333334,38.63333333333333,3.0,60.0,61.86666666666667,62.13333333333333,61.53333333333333,-3.3,33.06666666666667,35.85,28.333333333333332,30.733333333333334,43.2,70.03333333333333,69.6,69.93333333333334,-9.466666666666667,-3.033333333333333,30.666666666666668,30.55,28.966666666666665,33.766666666666666,61.0,61.0,61.0,0.0,3.0,32.56666666666667,31.633333333333333,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,40.7,30.933333333333334,30.0,60.0
15,60.0,60.0,60.0,-20.0,60.0,52.266666666666666,21.733333333333334,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.4,18.4,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,50.93333333333333,19.066666666666666,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.066666666666666,38.8,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,25.7,37.266666666666666,3.0,60.0,61.93333333333333,61.9,62.266666666666666,-2.7666666666666666,19.7,38.0,28.833333333333332,31.3,40.46666666666667,69.56666666666666,70.4,70.23333333333333,-9.7,-1.0666666666666667,30.166666666666668,30.05,29.2,30.033333333333335,61.0,61.0,61.0,0.0,3.0,33.8,32.7,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,38.13333333333333,27.866666666666667,30.0,60.0
16,60.0,60.0,60.0,-20.0,60.0,49.86666666666667,19.333333333333332,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.0,21.2,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.13333333333333,19.466666666666665,56.0,60.0,80.0,80.0,80.0,0.0,4.0,13.466666666666667,38.13333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,30.166666666666668,37.93333333333333,3.0,60.0,62.53333333333333,62.0,61.96666666666667,-3.3666666666666667,26.333333333333332,36.25,29.266666666666666,29.433333333333334,40.13333333333333,70.16666666666667,69.7,70.13333333333334,-9.533333333333333,-2.7333333333333334,30.933333333333334,29.1,28.3,31.466666666666665,61.0,61.0,61.0,0.0,3.0,31.266666666666666,31.3,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,37.46666666666667,29.133333333333333,30.0,60.0
17,60.0,60.0,60.0,-20.0,60.0,51.733333333333334,19.733333333333334,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.8,17.6,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.266666666666666,19.733333333333334,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.6,41.06666666666667,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,30.366666666666667,38.766666666666666,3.0,60.0,62.06666666666667,61.8,61.93333333333333,-2.9,25.033333333333335,36.4,28.833333333333332,28.366666666666667,45.4,70.06666666666666,70.6,70.06666666666666,-10.266666666666667,-0.5666666666666667,32.666666666666664,30.1,27.4,33.46666666666667,61.0,61.0,61.0,0.0,3.0,30.533333333333335,29.9,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,43.9,31.133333333333333,30.0,60.0
18,60.0,60.0,60.0,-20.0,60.0,52.666666666666664,20.266666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.06666666666667,20.533333333333335,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.2,19.6,56.0,60.0,80.0,80.0,80.0,0.0,4.0,11.2,42.13333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,28.533333333333335,38.8,3.0,60.0,61.833333333333336,62.233333333333334,62.2,-2.8,25.366666666666667,39.75,30.066666666666666,28.0,47.2,69.93333333333334,69.86666666666666,70.1,-10.533333333333333,-2.2,30.733333333333334,29.95,27.433333333333334,32.03333333333333,61.0,61.0,61.0,0.0,3.0,30.5,29.766666666666666,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,44.7,29.366666666666667,30.0,60.0
19,60.0,60.0,60.0,-20.0,60.0,50.93333333333333,21.066666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.0,23.066666666666666,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.13333333333333,21.2,56.0,60.0,80.0,80.0,80.0,0.0,4.0,12.4,38.53333333333333,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,31.3,39.766666666666666,3.0,60.0,62.266666666666666,62.0,61.96666666666667,-3.1,24.8,38.2,30.4,32.03333333333333,40.266666666666666,69.73333333333333,69.23333333333333,69.7,-9.633333333333333,-2.566666666666667,31.4,30.35,26.966666666666665,32.5,61.0,61.0,61.0,0.0,3.0,35.36666666666667,30.133333333333333,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,37.93333333333333,30.0,30.0,60.0
20,60.0,60.0,60.0,-20.0,60.0,52.93333333333333,22.8,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.2,18.666666666666668,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,51.6,18.666666666666668,56.0,60.0,80.0,80.0,80.0,0.0,4.0,15.333333333333334,38.266666666666666,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,34.46666666666667,36.9,3.0,60.0,61.766666666666666,62.2,62.1,-3.8333333333333335,31.633333333333333,37.75,27.466666666666665,30.5,41.0,69.3,70.33333333333333,70.33333333333333,-9.566666666666666,-0.6,29.633333333333333,30.1,27.033333333333335,31.466666666666665,61.0,61.0,61.0,0.0,3.0,33.0,29.366666666666667,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,38.5,28.633333333333333,30.0,60.0
21,60.0,60.0,60.0,-20.0,60.0,50.8,20.533333333333335,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.8,19.2,56.0,60.0,60.0,60.0,60.0,-20.0,60.0,52.53333333333333,20.8,56.0,60.0,80.0,80.0,80.0,0.0,4.0,12.8,41.333333333333336,0.0,4.0,60.0,60.0,60.0,-1.0,60.0,26.166666666666668,39.06666666666667,3.0,60.0,62.3,61.8,61.86666666666667,-3.2,18.833333333333332,35.1,28.833333333333332,28.933333333333334,44.06666666666667,69.86666666666666,70.2,69.8,-10.333333333333334,-1.2666666666666666,30.666666666666668,29.45,29.433333333333334,30.4,61.0,61.0,61.0,0.0,3.0,31.766666666666666,32.266666666666666,0.0,30.0,60.0,60.0,60.0,-1.0,60.0,40.733333333333334,27.9,30.0,60.0
