,"[0, 0]","[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[1, 0]","[1, 1]","[1, 2]","[1, 3]","[1, 4]","[1, 5]","[2, 0]","[2, 1]","[2, 2]","[2, 3]","[2, 4]","[2, 5]","[3, 0]","[3, 1]","[3, 2]","[3, 3]","[3, 4]","[3, 5]","[4, 0]","[4, 1]","[4, 2]","[4, 3]","[4, 4]","[4, 5]","[5, 0]","[5, 1]","[5, 2]","[5, 3]","[5, 4]","[5, 5]"
0,47.05,15.366666666666667,15.0,25.033333333333335,27.3,13.966666666666667,62.03333333333333,24.95,25.4,32.53333333333333,33.13333333333333,31.933333333333334,65.5,17.9,36.55,23.933333333333334,33.63333333333333,21.0,55.36666666666667,15.866666666666667,30.766666666666666,41.5,28.3,16.5,59.8,13.466666666666667,30.966666666666665,25.3,39.0,18.666666666666668,60.13333333333333,17.766666666666666,28.5,25.0,36.333333333333336,43.75
1,42.65,21.866666666666667,21.366666666666667,17.933333333333334,22.366666666666667,19.066666666666666,61.53333333333333,24.6,31.266666666666666,33.43333333333333,38.63333333333333,33.1,57.03333333333333,18.433333333333334,33.6,28.066666666666666,29.2,21.2,62.266666666666666,15.766666666666667,27.733333333333334,45.1,29.4,34.3,59.03333333333333,7.966666666666667,29.2,30.4,41.0,22.2,67.23333333333333,10.1,30.2,26.3,31.2,42.85
2,46.35,13.433333333333334,25.1,20.933333333333334,22.633333333333333,11.466666666666667,58.266666666666666,26.1,34.0,28.4,38.9,32.233333333333334,55.6,19.5,38.7,21.266666666666666,29.7,31.4,56.266666666666666,19.4,27.933333333333334,44.6,29.0,26.566666666666666,62.46666666666667,9.9,29.2,26.5,42.1,21.166666666666668,60.63333333333333,9.566666666666666,22.4,28.233333333333334,34.833333333333336,40.8
3,43.2,18.133333333333333,21.4,18.266666666666666,21.433333333333334,18.4,57.46666666666667,23.75,30.6,29.6,27.0,30.8,60.9,19.6,36.8,23.133333333333333,28.633333333333333,29.7,56.43333333333333,19.1,29.466666666666665,43.3,37.63333333333333,35.03333333333333,60.766666666666666,10.0,27.466666666666665,23.466666666666665,40.6,18.633333333333333,62.4,21.3,31.2,20.366666666666667,33.46666666666667,39.85
4,43.9,20.966666666666665,23.466666666666665,20.666666666666668,32.43333333333333,21.6,53.63333333333333,25.25,25.333333333333332,25.4,33.3,26.9,57.13333333333333,23.666666666666668,36.45,24.0,29.033333333333335,26.433333333333334,53.833333333333336,22.9,31.0,41.65,30.766666666666666,23.9,50.766666666666666,6.3,26.866666666666667,26.433333333333334,39.05,30.733333333333334,61.1,12.4,24.266666666666666,22.4,23.566666666666666,39.05
5,44.8,20.066666666666666,20.0,20.6,20.533333333333335,10.2,58.233333333333334,19.45,27.133333333333333,15.366666666666667,27.8,24.633333333333333,57.0,25.466666666666665,34.95,23.7,30.733333333333334,26.666666666666668,57.6,16.533333333333335,30.2,38.7,22.8,33.333333333333336,59.36666666666667,14.8,26.566666666666666,26.8,38.25,24.333333333333332,56.2,24.966666666666665,29.333333333333332,24.666666666666668,40.166666666666664,42.15
6,48.3,16.4,20.166666666666668,9.066666666666666,24.0,13.7,54.9,25.15,34.5,32.9,31.833333333333332,29.6,64.33333333333333,8.5,36.9,23.966666666666665,23.433333333333334,23.033333333333335,56.733333333333334,16.9,31.633333333333333,41.35,28.2,29.133333333333333,63.5,14.166666666666666,24.266666666666666,21.2,40.1,23.266666666666666,60.2,21.6,24.866666666666667,27.466666666666665,33.93333333333333,40.1
7,46.8,13.233333333333333,24.3,21.7,23.033333333333335,19.666666666666668,61.56666666666667,24.25,30.433333333333334,24.433333333333334,31.933333333333334,28.966666666666665,61.3,14.266666666666667,38.1,29.933333333333334,25.833333333333332,21.3,54.7,18.766666666666666,34.766666666666666,43.8,32.0,25.333333333333332,61.86666666666667,16.766666666666666,31.666666666666668,22.0,40.2,27.633333333333333,56.833333333333336,22.633333333333333,22.8,23.666666666666668,31.466666666666665,42.65
8,44.8,15.633333333333333,23.666666666666668,28.0,25.9,22.2,54.46666666666667,23.5,27.166666666666668,18.366666666666667,25.4,19.2,64.33333333333333,14.833333333333334,36.75,26.733333333333334,34.1,23.866666666666667,49.0,17.533333333333335,23.566666666666666,45.1,28.866666666666667,31.966666666666665,57.9,15.4,31.1,26.033333333333335,38.05,24.6,61.2,20.7,26.533333333333335,27.633333333333333,32.6,40.75
9,45.45,14.733333333333333,16.866666666666667,24.833333333333332,19.466666666666665,10.066666666666666,62.56666666666667,27.05,19.566666666666666,25.233333333333334,22.4,17.466666666666665,63.03333333333333,31.233333333333334,37.15,31.3,26.9,29.9,56.666666666666664,25.566666666666666,25.3,43.2,26.666666666666668,27.133333333333333,57.63333333333333,30.4,36.9,27.333333333333332,37.3,25.033333333333335,64.23333333333333,22.633333333333333,29.4,21.466666666666665,30.866666666666667,42.2
10,45.45,12.166666666666666,16.6,20.766666666666666,20.966666666666665,14.9,61.333333333333336,27.75,22.5,19.666666666666668,23.133333333333333,21.5,59.1,25.5,36.0,26.4,28.133333333333333,24.4,51.93333333333333,24.333333333333332,26.4,44.2,25.1,31.933333333333334,56.13333333333333,18.466666666666665,26.466666666666665,19.6,37.9,25.8,64.4,21.5,29.4,19.766666666666666,26.8,40.95
11,45.7,16.866666666666667,20.066666666666666,27.5,22.566666666666666,15.166666666666666,54.53333333333333,21.1,29.133333333333333,29.1,21.566666666666666,22.6,61.233333333333334,18.966666666666665,40.45,26.2,28.533333333333335,30.0,52.0,22.6,23.7,43.8,35.86666666666667,27.4,60.233333333333334,25.733333333333334,32.86666666666667,22.533333333333335,39.15,25.466666666666665,64.83333333333333,30.6,21.5,21.4,24.133333333333333,41.5
12,44.75,16.366666666666667,20.0,21.866666666666667,16.1,15.866666666666667,63.03333333333333,25.1,27.8,26.2,22.766666666666666,16.633333333333333,53.0,29.3,38.4,23.433333333333334,33.8,27.366666666666667,56.03333333333333,12.7,31.766666666666666,42.4,32.833333333333336,26.233333333333334,63.1,21.433333333333334,26.8,23.166666666666668,37.65,18.966666666666665,55.53333333333333,26.966666666666665,25.533333333333335,21.066666666666666,28.633333333333333,41.35
13,46.35,18.466666666666665,19.833333333333332,22.366666666666667,24.8,19.5,58.63333333333333,23.7,28.033333333333335,31.4,33.86666666666667,22.933333333333334,56.166666666666664,27.366666666666667,37.5,21.433333333333334,31.666666666666668,22.666666666666668,60.03333333333333,11.4,31.266666666666666,43.85,29.666666666666668,25.6,63.3,12.033333333333333,28.333333333333332,26.833333333333332,37.7,20.6,58.0,30.766666666666666,25.333333333333332,26.1,32.1,44.45
14,45.7,14.433333333333334,13.433333333333334,15.7,23.666666666666668,13.666666666666666,66.26666666666667,19.0,25.4,26.566666666666666,37.63333333333333,17.833333333333332,64.26666666666667,23.4,38.35,26.933333333333334,29.333333333333332,23.866666666666667,65.7,17.233333333333334,23.266666666666666,45.5,24.533333333333335,27.3,61.333333333333336,7.466666666666667,31.666666666666668,22.366666666666667,37.2,13.833333333333334,64.33333333333333,27.666666666666668,34.03333333333333,28.3,32.666666666666664,43.05
15,49.1,1.4666666666666666,14.633333333333333,19.433333333333334,20.7,11.3,68.13333333333334,24.6,32.8,31.633333333333333,35.5,20.1,60.46666666666667,19.8,36.55,29.266666666666666,30.933333333333334,26.466666666666665,63.266666666666666,16.966666666666665,18.933333333333334,44.65,29.6,23.933333333333334,62.2,18.0,30.266666666666666,18.1,38.3,27.066666666666666,67.3,22.1,29.633333333333333,26.766666666666666,28.233333333333334,42.3
16,46.9,8.933333333333334,15.833333333333334,20.233333333333334,15.466666666666667,15.166666666666666,58.266666666666666,23.05,28.133333333333333,25.633333333333333,41.7,18.3,60.166666666666664,20.466666666666665,34.9,27.066666666666666,28.633333333333333,36.8,66.56666666666666,24.966666666666665,20.233333333333334,44.05,35.13333333333333,30.666666666666668,63.63333333333333,1.7,31.466666666666665,21.466666666666665,39.45,17.533333333333335,61.333333333333336,19.8,21.3,28.333333333333332,36.36666666666667,40.25
17,46.15,4.166666666666667,18.6,22.566666666666666,21.0,14.133333333333333,60.333333333333336,23.1,25.1,31.0,30.933333333333334,21.366666666666667,56.6,23.1,34.45,25.333333333333332,30.8,30.2,63.233333333333334,14.5,18.166666666666668,45.95,35.5,23.066666666666666,65.0,19.266666666666666,28.3,17.0,39.1,24.3,61.46666666666667,19.033333333333335,23.7,30.233333333333334,33.8,41.4
18,46.85,16.066666666666666,17.533333333333335,18.566666666666666,28.266666666666666,13.166666666666666,54.233333333333334,24.5,21.2,24.3,31.033333333333335,27.666666666666668,61.86666666666667,24.7,34.4,20.866666666666667,33.2,27.233333333333334,63.733333333333334,25.8,27.533333333333335,45.55,35.7,26.1,55.43333333333333,21.366666666666667,29.2,23.2,39.75,19.866666666666667,63.833333333333336,14.833333333333334,25.566666666666666,31.1,32.53333333333333,41.0
19,46.2,9.9,17.866666666666667,23.8,21.9,16.566666666666666,62.4,29.9,24.766666666666666,30.4,28.466666666666665,28.433333333333334,60.53333333333333,19.433333333333334,34.85,21.2,36.36666666666667,26.7,58.3,16.9,26.7,42.8,29.9,24.533333333333335,63.4,19.633333333333333,29.033333333333335,21.4,35.2,22.433333333333334,64.73333333333333,12.266666666666667,31.7,28.366666666666667,25.766666666666666,42.45
20,47.2,25.5,18.8,15.533333333333333,30.433333333333334,16.8,60.0,30.5,27.266666666666666,24.1,23.366666666666667,28.866666666666667,56.8,28.433333333333334,39.2,22.433333333333334,30.666666666666668,30.166666666666668,62.86666666666667,13.1,28.766666666666666,45.45,26.766666666666666,30.033333333333335,64.76666666666667,11.533333333333333,27.333333333333332,22.433333333333334,36.55,22.166666666666668,59.3,20.033333333333335,27.833333333333332,27.366666666666667,32.833333333333336,44.2
21,46.8,16.366666666666667,21.0,22.833333333333332,28.433333333333334,12.1,63.53333333333333,29.2,29.7,30.433333333333334,31.7,23.9,57.5,19.7,37.85,30.066666666666666,36.86666666666667,27.333333333333332,58.166666666666664,11.266666666666667,22.733333333333334,46.35,34.46666666666667,25.2,62.766666666666666,14.7,27.533333333333335,21.133333333333333,39.95,24.4,63.1,17.9,27.166666666666668,27.7,38.9,41.4
22,46.9,17.4,23.666666666666668,22.4,29.833333333333332,12.566666666666666,58.4,22.85,21.633333333333333,21.366666666666667,28.266666666666666,24.133333333333333,57.833333333333336,19.466666666666665,39.5,32.266666666666666,27.366666666666667,28.066666666666666,64.9,26.533333333333335,23.933333333333334,45.25,32.43333333333333,28.733333333333334,62.166666666666664,14.933333333333334,26.033333333333335,22.766666666666666,40.55,19.866666666666667,57.733333333333334,8.466666666666667,25.233333333333334,28.566666666666666,42.03333333333333,38.95
23,47.4,13.933333333333334,23.866666666666667,22.9,24.733333333333334,15.066666666666666,57.266666666666666,29.15,33.9,25.533333333333335,26.733333333333334,25.266666666666666,55.03333333333333,6.4,37.55,29.433333333333334,25.3,23.466666666666665,62.4,20.866666666666667,25.266666666666666,46.2,36.36666666666667,25.6,65.06666666666666,15.566666666666666,28.8,14.033333333333333,40.25,23.666666666666668,60.233333333333334,8.933333333333334,27.633333333333333,34.6,32.333333333333336,41.1
24,45.05,18.433333333333334,23.8,16.133333333333333,30.133333333333333,18.666666666666668,60.266666666666666,27.95,28.666666666666668,25.166666666666668,26.366666666666667,23.9,61.8,11.833333333333334,37.85,25.133333333333333,19.0,22.2,58.96666666666667,23.333333333333332,23.966666666666665,47.15,35.93333333333333,31.4,63.46666666666667,20.033333333333335,36.0,26.266666666666666,38.3,22.333333333333332,59.833333333333336,13.9,23.7,17.9,30.666666666666668,41.1
25,44.8,16.3,17.733333333333334,17.066666666666666,21.166666666666668,15.3,64.8,31.35,33.06666666666667,17.9,29.066666666666666,21.266666666666666,64.56666666666666,23.233333333333334,36.25,25.366666666666667,26.5,33.266666666666666,59.233333333333334,33.9,31.533333333333335,45.8,33.9,29.8,63.833333333333336,12.233333333333333,29.0,19.9,39.35,15.9,56.3,14.933333333333334,19.933333333333334,21.3,31.4,43.45
26,45.5,11.566666666666666,22.5,21.833333333333332,27.033333333333335,8.966666666666667,67.23333333333333,21.6,30.766666666666666,17.733333333333334,31.533333333333335,28.5,65.0,23.433333333333334,38.75,21.066666666666666,26.433333333333334,27.266666666666666,56.666666666666664,24.066666666666666,31.733333333333334,45.1,34.333333333333336,30.733333333333334,59.86666666666667,14.366666666666667,27.266666666666666,22.166666666666668,39.5,18.6,66.13333333333334,16.5,25.433333333333334,25.066666666666666,34.6,41.95
